word	num	|	G0								|	G3								|	G6							
DN	3N	|									|	2	1	1	2	4	1	2	4	|	5	1	1	3	3	2	1	1
E(s)	4(s)	|									|	1	1	1	3	4	1	1	5	|								
EC	42	|	2	1	1	4	3	1	4	1	|									|	1	1	1	5	1	1	4	3
ED	43	|	1	1	1	4	3	3	3	1	|									|	2	1	1	5	1	1	5	1
EE	44	|	1	1	1	5	1	1	1	6	|									|	1	1	1	5	1	2	4	2
EH	47	|	1	1	1	5	1	2	1	5	|	5	1	1	3	1	3	2	1	|								
EI	48	|	2	1	1	5	1	2	2	3	|	4	1	1	3	1	4	1	2	|								
EK	4K	|									|	3	1	1	3	2	1	1	5	|	2	2	1	1	1	1	5	4
EL	4L	|									|	4	1	1	3	2	1	2	3	|	3	2	1	1	1	1	6	2
EN	4N	|									|	3	1	1	3	2	2	1	4	|	2	2	1	1	1	2	5	3
ER	4R	|	1	1	1	5	2	3	2	2	|	3	1	1	3	2	4	1	2	|								
EU	4U	|									|									|	6	2	1	1	2	1	1	3
EV		|									|									|	1	2	1	1	2	1	5	4
F(d)	5(d)	|									|	2	1	1	4	3	2	1	3	|	1	1	2	1	1	4	3	4
FC	52	|	1	2	1	1	1	4	1	6	|									|	5	2	1	1	3	2	1	2
FD	53	|	2	2	1	1	1	4	2	4	|									|	1	2	1	1	3	2	6	1
FE	54	|	1	2	1	1	1	5	1	5	|									|	5	2	1	1	3	3	1	1
FH	57	|	4	2	1	1	2	1	5	1	|	1	1	1	3	5	1	2	3	|								
FI	58	|	1	2	1	1	2	2	2	6	|	2	1	1	3	5	1	3	1	|								
FJ	59	|	2	2	1	1	2	2	3	4	|									|								
FL	5L	|									|	1	1	1	3	6	1	3	1	|	3	2	1	1	5	2	1	2
FN	5N	|									|	5	1	1	4	1	1	2	2	|	2	2	1	1	6	1	1	3
G(d)	6(d)	|									|	3	1	1	6	2	1	1	2	|	5	2	1	2	3	1	1	2
G(s)	6(s)	|									|	2	1	1	6	3	1	1	2	|								
GC	62	|	2	1	2	1	1	3	1	6	|									|	2	2	1	2	1	1	5	3
GD	63	|	3	1	2	1	1	3	2	4	|									|	3	2	1	2	1	1	6	1
GE	64	|	4	1	2	1	1	3	3	2	|									|	1	1	2	1	2	1	4	5
GG	66	|									|									|	2	2	1	2	1	2	5	2
GH	67	|	4	1	2	1	1	4	3	1	|	1	1	1	4	5	2	2	1	|								
GI	68	|	2	1	2	1	1	5	1	4	|	4	1	1	5	1	1	1	3	|								
GL	6L	|									|	4	1	1	5	1	3	1	1	|	1	2	1	2	1	4	4	2
GN	6N	|									|	4	1	1	5	2	1	2	1	|	1	2	1	2	1	5	4	1
H(d)	7(d)	|									|									|	1	1	2	2	2	1	4	4
HA	70	|									|									|	1	1	2	1	4	1	6	1
HC	72	|	2	2	1	2	2	2	3	3	|									|	4	2	1	2	4	1	1	2
HD	73	|	3	2	1	2	2	2	4	1	|									|	4	1	2	1	5	1	1	2
HE	74	|	1	1	2	1	3	2	2	5	|									|	4	2	1	2	4	2	1	1
HH	77	|	1	1	2	1	3	3	2	4	|	5	2	1	1	1	3	2	2	|								
HI	78	|	1	2	1	2	2	4	2	3	|	4	2	1	1	1	4	1	3	|								
HL	7L	|									|	4	2	1	1	1	6	1	1	|	2	2	1	2	6	2	1	1
HN	7N	|									|	4	2	1	1	2	1	2	4	|	2	1	2	2	1	1	4	4
IB	81	|									|									|	1	1	2	2	2	3	4	2
ID	83	|	2	1	2	2	1	5	1	3	|									|	1	1	2	2	2	4	4	1
IE	84	|	2	1	2	2	1	6	1	2	|									|	6	2	1	3	2	1	1	1
II	88	|	2	1	2	2	2	1	2	5	|	3	2	1	1	4	1	3	2	|								
IL	8L	|									|	3	2	1	1	4	2	3	1	|	5	1	2	2	4	1	1	1
IN	8N	|									|	2	2	1	1	4	3	2	2	|								
IS	8S	|									|	2	2	1	1	5	1	3	2	|								
IV	8V	|									|	1	2	1	1	5	3	2	2	|								
J(d)	9(d)	|									|	3	1	2	1	3	2	1	4	|								
J(s)	9(s)	|									|	4	2	1	2	2	3	2	1	|								
KA		|									|	3	2	1	2	2	4	1	2	|	1	3	1	1	1	4	4	2
KB		|									|	3	1	2	1	3	4	1	2	|								
LE		|									|	1	2	1	2	5	2	2	2	|								
LJ		|									|	5	1	2	2	1	1	1	4	|								
LR		|	1	1	2	4	3	3	2	1	|									|								
NI		|	2	3	1	2	1	1	2	5	|									|	3	1	3	2	1	2	4	1
NK		|	4	3	1	2	1	1	4	1	|									|								
NO		|									|	4	1	2	3	2	3	1	1	|								
PS		|									|									|	3	4	1	1	5	1	1	1
PT		|	1	2	2	2	2	2	1	5	|									|								
PV		|									|									|	2	3	2	1	1	1	4	3
S(d)		|									|	1	1	3	1	2	2	6	1	|								
SC		|									|	1	3	1	2	4	4	1	1	|								
SF		|									|	1	2	2	1	6	1	2	2	|								
SK		|	4	1	3	3	1	1	2	2	|	2	1	3	1	1	1	6	2	|								
ST		|									|	1	2	2	2	1	1	6	2	|	2	1	4	2	1	1	2	4
T(d)		|									|	2	2	2	2	4	3	1	1	|								
TD		|									|	5	1	3	1	3	1	2	1	|								
TK		|									|	3	2	2	2	3	1	1	3	|	1	3	2	4	1	1	3	2
UI		|									|									|	2	1	4	4	1	2	2	1
UK		|	1	4	1	1	2	5	2	1	|									|								
VA		|	1	4	1	2	1	2	1	5	|									|								
VC		|									|	3	2	2	3	3	2	1	1	|								
VS		|									|	1	1	3	3	1	2	5	1	|								
W(d)		|									|	1	4	1	1	4	3	1	2	|								
W(s)		|	1	4	1	3	1	4	1	2	|									|								
WJ		|	2	2	3	1	2	2	1	4	|									|								
XB		|									|	6	3	2	1	1	1	2	1	|								
YI		|									|	2	2	3	1	1	1	6	1	|								
YZ		|	2	2	3	2	3	2	2	1	|									|	2	1	5	3	1	3	1	1
